order_id,order_date,product,category,price,quantity,total_sales,city,platform,payment_method,order_status
10042,2025-05-16,Car LED Light,Accessories,14687,2,29374,Mumbai,Amazon,Card,Returned
10043,2025-06-25,Car Dash Camera,Electronics,10209,2,20418,Jaipur,Shopify,COD,Shipped
10044,2025-02-17,Car Dash Camera,Electronics,14162,1,14162,Pune,Flipkart,UPI,Delivered
10045,2025-11-23,Car Vacuum Cleaner,Electronics,12934,2,25868,Udaipur,Amazon,Net Banking,Shipped
10046,2025-02-08,Android Car Display,Electronics,458,1,458,Bangalore,Shopify,UPI,Returned
10047,2025-08-09,Reverse Parking Camera,Electronics,9352,2,18704,Bangalore,Amazon,COD,Returned
10048,2025-12-16,Car Seat Cover,Accessories,6162,2,12324,Jaipur,Shopify,UPI,Returned
10049,2025-11-14,Android Car Display,Electronics,14785,4,59140,Bangalore,Amazon,Card,Cancelled
10050,2025-06-20,Car Floor Mat,Accessories,706,2,1412,Pune,Shopify,Card,Returned
10051,2025-07-15,Car Music System,Electronics,13200,1,13200,Delhi,Flipkart,Card,Cancelled
10052,2025-04-27,Car Air Freshener,Accessories,6028,3,18084,Jaipur,Amazon,Card,Shipped
10053,2025-05-23,Car Vacuum Cleaner,Electronics,4864,1,4864,Ahmedabad,Shopify,Net Banking,Returned
10054,2025-04-02,Car Seat Cover,Accessories,2189,3,6567,Udaipur,Amazon,UPI,Shipped
10055,2025-08-12,Car Vacuum Cleaner,Electronics,12236,3,36708,Mumbai,Flipkart,Card,Returned
10056,2025-01-01,Car Seat Cover,Accessories,11912,4,47648,Jaipur,Flipkart,Net Banking,Delivered
10057,2025-12-06,Car Vacuum Cleaner,Electronics,10509,3,31527,Mumbai,Shopify,COD,Returned
10058,2025-12-23,Car Floor Mat,Accessories,5644,4,22576,Udaipur,Shopify,Card,Cancelled
10059,2025-12-13,Car Floor Mat,Accessories,11194,4,44776,Bangalore,Shopify,COD,Shipped
10060,2025-06-05,Android Car Display,Electronics,13959,1,13959,Udaipur,Amazon,Net Banking,Returned
10061,2025-12-12,Car Air Freshener,Accessories,7538,4,30152,Jaipur,Shopify,Net Banking,Cancelled
10062,2025-02-17,Car LED Light,Accessories,4949,3,14847,Jaipur,Shopify,COD,Cancelled
10063,2025-01-24,Car Phone Holder,Accessories,2714,1,2714,Jaipur,Flipkart,UPI,Shipped
10064,2025-12-23,Car Floor Mat,Accessories,14818,2,29636,Pune,Flipkart,Net Banking,Cancelled
10065,2025-02-24,Car Music System,Electronics,11048,1,11048,Pune,Amazon,Card,Shipped
10066,2025-03-04,Car Seat Cover,Accessories,9432,2,18864,Hyderabad,Amazon,Net Banking,Returned
10067,2025-10-08,Car Air Freshener,Accessories,10337,4,41348,Hyderabad,Amazon,Net Banking,Shipped
10068,2025-11-23,Car Dash Camera,Electronics,12617,2,25234,Udaipur,Shopify,Net Banking,Cancelled
10069,2026-01-01,Car Dash Camera,Electronics,7506,1,7506,Udaipur,Amazon,COD,Returned
10070,2025-03-12,Car Vacuum Cleaner,Electronics,14931,1,14931,Bangalore,Amazon,Net Banking,Cancelled
10071,2025-07-28,Car Phone Holder,Accessories,1352,4,5408,Ahmedabad,Shopify,Net Banking,Shipped
10072,2025-07-19,Car Seat Cover,Accessories,3688,4,14752,Delhi,Shopify,Net Banking,Shipped
10073,2025-07-19,Car Seat Cover,Accessories,6063,3,18189,Pune,Shopify,Card,Shipped
10074,2025-09-06,Car Phone Holder,Accessories,4771,4,19084,Delhi,Flipkart,COD,Shipped
10075,2025-03-07,Car Music System,Electronics,14070,4,56280,Delhi,Flipkart,UPI,Delivered
10076,2025-04-04,Car Floor Mat,Accessories,2523,4,10092,Delhi,Flipkart,Net Banking,Returned
10077,2025-06-22,Car Phone Holder,Accessories,7749,3,23247,Pune,Flipkart,Net Banking,Returned
10078,2025-10-04,Car LED Light,Accessories,8005,1,8005,Delhi,Flipkart,Card,Delivered
10079,2025-05-07,Car Seat Cover,Accessories,12657,1,12657,Jaipur,Amazon,Card,Cancelled
10080,2025-10-16,Car Music System,Electronics,8058,1,8058,Jaipur,Flipkart,COD,Returned
10081,2025-03-25,Car Music System,Electronics,10226,1,10226,Udaipur,Amazon,UPI,Returned
10082,2025-07-23,Reverse Parking Camera,Electronics,11397,4,45588,Jaipur,Amazon,Card,Delivered
10083,2025-10-17,Car Dash Camera,Electronics,14231,1,14231,Delhi,Flipkart,Net Banking,Returned
10084,2025-01-07,Car LED Light,Accessories,8589,3,25767,Pune,Flipkart,UPI,Shipped
10085,2025-12-29,Car Vacuum Cleaner,Electronics,10713,4,42852,Bangalore,Flipkart,Card,Returned
10086,2025-08-27,Reverse Parking Camera,Electronics,13541,4,54164,Pune,Shopify,COD,Returned
10087,2025-05-23,Car Phone Holder,Accessories,13910,1,13910,Hyderabad,Amazon,Net Banking,Shipped
10088,2025-06-16,Car Vacuum Cleaner,Electronics,770,4,3080,Bangalore,Flipkart,Card,Returned
10089,2025-11-02,Car Dash Camera,Electronics,5876,3,17628,Udaipur,Shopify,UPI,Cancelled
10090,2025-09-08,Car LED Light,Accessories,4254,4,17016,Jaipur,Shopify,Net Banking,Shipped
10091,2025-02-17,Car Air Freshener,Accessories,13291,1,13291,Udaipur,Amazon,Net Banking,Cancelled
10092,2025-08-31,Car Dash Camera,Electronics,11178,3,33534,Ahmedabad,Flipkart,COD,Returned
10093,2025-05-09,Car Air Freshener,Accessories,4738,3,14214,Jaipur,Amazon,Card,Returned
10094,2025-04-09,Car LED Light,Accessories,12471,2,24942,Jaipur,Shopify,Net Banking,Returned
10095,2025-02-21,Reverse Parking Camera,Electronics,12755,3,38265,Jaipur,Flipkart,Card,Returned
10096,2025-12-29,Car Music System,Electronics,5252,1,5252,Bangalore,Flipkart,UPI,Delivered
10097,2025-11-23,Android Car Display,Electronics,5086,2,10172,Hyderabad,Amazon,UPI,Returned
10098,2025-06-24,Car Air Freshener,Accessories,8143,4,32572,Bangalore,Amazon,COD,Shipped
10099,2025-07-25,Car LED Light,Accessories,13769,1,13769,Hyderabad,Amazon,UPI,Cancelled
10100,2025-02-13,Car Music System,Electronics,13589,3,40767,Jaipur,Amazon,Net Banking,Cancelled
10101,2025-08-15,Android Car Display,Electronics,6532,4,26128,Udaipur,Shopify,Net Banking,Returned
10102,2025-11-09,Reverse Parking Camera,Electronics,10474,1,10474,Mumbai,Amazon,Card,Returned
10103,2025-03-30,Car LED Light,Accessories,2873,2,5746,Mumbai,Amazon,UPI,Shipped
10104,2025-05-30,Car Air Freshener,Accessories,11594,4,46376,Delhi,Amazon,COD,Returned
10105,2025-05-16,Car Air Freshener,Accessories,1466,2,2932,Jaipur,Flipkart,UPI,Cancelled
10106,2025-02-06,Car Music System,Electronics,4652,2,9304,Delhi,Amazon,COD,Returned
10107,2025-12-19,Car Air Freshener,Accessories,2337,4,9348,Udaipur,Shopify,Net Banking,Returned
10108,2025-08-13,Android Car Display,Electronics,9147,4,36588,Mumbai,Shopify,UPI,Shipped
10109,2025-01-14,Car Vacuum Cleaner,Electronics,10191,3,30573,Mumbai,Amazon,UPI,Returned
10110,2025-08-29,Reverse Parking Camera,Electronics,959,2,1918,Hyderabad,Flipkart,Card,Shipped
10111,2025-06-28,Car Air Freshener,Accessories,1794,4,7176,Pune,Flipkart,COD,Delivered
10112,2025-12-22,Car Music System,Electronics,5703,4,22812,Hyderabad,Flipkart,Net Banking,Delivered
10113,2025-05-10,Car Air Freshener,Accessories,1742,3,5226,Ahmedabad,Amazon,Net Banking,Delivered
10114,2025-01-28,Android Car Display,Electronics,7869,4,31476,Jaipur,Shopify,COD,Shipped
10115,2025-04-15,Car Air Freshener,Accessories,12751,1,12751,Udaipur,Shopify,Card,Returned
10116,2025-03-04,Car Air Freshener,Accessories,14731,4,58924,Delhi,Shopify,Card,Cancelled
10117,2025-10-10,Car Dash Camera,Electronics,9324,1,9324,Pune,Amazon,Card,Delivered
10118,2025-09-13,Car Air Freshener,Accessories,2224,2,4448,Udaipur,Shopify,COD,Shipped
10119,2025-08-22,Car Air Freshener,Accessories,8036,2,16072,Bangalore,Flipkart,Card,Cancelled
10120,2025-06-24,Car LED Light,Accessories,4826,4,19304,Udaipur,Amazon,COD,Returned
10121,2025-03-18,Reverse Parking Camera,Electronics,9801,4,39204,Hyderabad,Shopify,Net Banking,Returned
10122,2025-08-22,Car Vacuum Cleaner,Electronics,9342,4,37368,Ahmedabad,Amazon,Card,Shipped
10123,2025-01-23,Car Phone Holder,Accessories,14324,4,57296,Ahmedabad,Shopify,Net Banking,Shipped
10124,2025-09-11,Car Floor Mat,Accessories,11173,2,22346,Delhi,Amazon,COD,Delivered
10125,2025-01-08,Car Air Freshener,Accessories,1933,4,7732,Bangalore,Flipkart,Card,Delivered
10126,2025-06-23,Car Air Freshener,Accessories,13104,3,39312,Pune,Shopify,UPI,Returned
10127,2025-11-17,Android Car Display,Electronics,6526,3,19578,Hyderabad,Shopify,UPI,Delivered
10128,2025-04-27,Car Phone Holder,Accessories,10640,3,31920,Mumbai,Flipkart,UPI,Delivered
10129,2025-01-15,Car Air Freshener,Accessories,3025,3,9075,Delhi,Flipkart,UPI,Returned
10130,2025-03-16,Car Vacuum Cleaner,Electronics,6441,4,25764,Jaipur,Shopify,Net Banking,Cancelled
10131,2025-11-09,Car Music System,Electronics,3168,1,3168,Pune,Shopify,Card,Shipped
10132,2025-08-25,Reverse Parking Camera,Electronics,2644,2,5288,Udaipur,Flipkart,COD,Delivered
10133,2025-02-07,Car Air Freshener,Accessories,5012,2,10024,Hyderabad,Flipkart,COD,Shipped
10134,2025-04-12,Car Dash Camera,Electronics,7784,3,23352,Pune,Flipkart,UPI,Cancelled
10135,2025-10-22,Car Floor Mat,Accessories,9670,3,29010,Udaipur,Shopify,COD,Delivered
10136,2025-10-17,Car Floor Mat,Accessories,4797,1,4797,Delhi,Shopify,Net Banking,Returned
10137,2025-04-23,Car Phone Holder,Accessories,10246,3,30738,Jaipur,Shopify,COD,Cancelled
10138,2025-06-08,Car LED Light,Accessories,10580,1,10580,Hyderabad,Amazon,COD,Cancelled
10139,2025-08-01,Car LED Light,Accessories,5135,3,15405,Bangalore,Amazon,Card,Returned
10140,2025-03-26,Android Car Display,Electronics,8521,3,25563,Udaipur,Flipkart,COD,Returned
10141,2025-03-14,Car LED Light,Accessories,7973,1,7973,Jaipur,Shopify,Net Banking,Returned
10142,2025-01-08,Car LED Light,Accessories,13254,4,53016,Udaipur,Shopify,UPI,Shipped
10143,2025-10-27,Car Vacuum Cleaner,Electronics,11323,3,33969,Pune,Shopify,COD,Delivered
10144,2025-11-14,Car Phone Holder,Accessories,8024,1,8024,Ahmedabad,Shopify,Card,Delivered
10145,2025-11-29,Car Air Freshener,Accessories,11786,3,35358,Pune,Amazon,Card,Delivered
10146,2025-03-01,Car Seat Cover,Accessories,5286,4,21144,Mumbai,Amazon,Card,Shipped
10147,2025-10-28,Car Air Freshener,Accessories,6378,4,25512,Bangalore,Flipkart,UPI,Shipped
10148,2025-01-17,Reverse Parking Camera,Electronics,6986,3,20958,Ahmedabad,Amazon,Net Banking,Shipped
10149,2025-02-20,Car Phone Holder,Accessories,14315,3,42945,Ahmedabad,Shopify,COD,Delivered
10150,2025-03-04,Car Floor Mat,Accessories,4820,2,9640,Hyderabad,Amazon,Card,Delivered
10151,2025-05-05,Car Seat Cover,Accessories,13190,3,39570,Bangalore,Shopify,Card,Delivered
10152,2025-04-30,Android Car Display,Electronics,3694,2,7388,Ahmedabad,Amazon,UPI,Returned
10153,2025-03-31,Car Music System,Electronics,2429,3,7287,Mumbai,Shopify,UPI,Cancelled
10154,2025-10-29,Car Seat Cover,Accessories,6169,2,12338,Ahmedabad,Amazon,Card,Returned
10155,2025-09-27,Car Seat Cover,Accessories,2376,4,9504,Mumbai,Shopify,UPI,Shipped
10156,2025-09-20,Car Air Freshener,Accessories,13047,3,39141,Mumbai,Flipkart,Card,Delivered
10157,2025-11-26,Android Car Display,Electronics,5241,4,20964,Delhi,Amazon,Net Banking,Shipped
10158,2025-09-09,Car Floor Mat,Accessories,11541,1,11541,Hyderabad,Amazon,UPI,Returned
10159,2025-03-06,Reverse Parking Camera,Electronics,2730,1,2730,Udaipur,Shopify,COD,Shipped
10160,2025-08-21,Reverse Parking Camera,Electronics,8992,3,26976,Pune,Amazon,UPI,Cancelled
10161,2025-07-31,Car Floor Mat,Accessories,7698,2,15396,Ahmedabad,Flipkart,Net Banking,Shipped
10162,2025-06-10,Car LED Light,Accessories,5420,4,21680,Udaipur,Flipkart,Card,Shipped
10163,2025-02-17,Car LED Light,Accessories,1794,1,1794,Pune,Amazon,COD,Cancelled
10164,2025-12-10,Android Car Display,Electronics,1282,3,3846,Mumbai,Flipkart,COD,Shipped
10165,2025-06-30,Car Seat Cover,Accessories,5012,3,15036,Mumbai,Shopify,Card,Cancelled
10166,2025-06-29,Car Air Freshener,Accessories,3974,1,3974,Ahmedabad,Amazon,COD,Cancelled
10167,2025-11-08,Car Floor Mat,Accessories,14147,1,14147,Udaipur,Amazon,Card,Returned
10168,2025-01-04,Car Dash Camera,Electronics,5867,3,17601,Bangalore,Amazon,Net Banking,Delivered
10169,2025-02-16,Car Music System,Electronics,12440,1,12440,Jaipur,Flipkart,Net Banking,Shipped
10170,2025-06-09,Car Vacuum Cleaner,Electronics,2878,3,8634,Ahmedabad,Shopify,UPI,Delivered
10171,2025-12-12,Car Music System,Electronics,2879,1,2879,Mumbai,Flipkart,Net Banking,Shipped
10172,2025-08-01,Car Air Freshener,Accessories,10246,4,40984,Udaipur,Amazon,UPI,Returned
10173,2025-12-14,Car Floor Mat,Accessories,2116,3,6348,Hyderabad,Shopify,COD,Delivered
10174,2025-01-04,Car Phone Holder,Accessories,6775,1,6775,Jaipur,Flipkart,Card,Cancelled
10175,2025-03-03,Car Dash Camera,Electronics,5042,3,15126,Delhi,Flipkart,Net Banking,Cancelled
10176,2025-09-14,Car Music System,Electronics,6529,2,13058,Ahmedabad,Amazon,Net Banking,Delivered
10177,2025-02-09,Car Floor Mat,Accessories,607,4,2428,Ahmedabad,Shopify,Net Banking,Shipped
10178,2025-07-27,Car Floor Mat,Accessories,5043,1,5043,Delhi,Flipkart,Card,Shipped
10179,2025-02-24,Car Vacuum Cleaner,Electronics,1743,4,6972,Jaipur,Flipkart,Net Banking,Delivered
10180,2025-06-23,Car Floor Mat,Accessories,14562,3,43686,Jaipur,Flipkart,Card,Delivered
10181,2025-09-29,Android Car Display,Electronics,10674,1,10674,Jaipur,Flipkart,COD,Cancelled
10182,2025-05-12,Car Phone Holder,Accessories,1984,2,3968,Jaipur,Amazon,Card,Delivered
10183,2025-08-26,Car Music System,Electronics,12962,4,51848,Hyderabad,Shopify,COD,Returned
10184,2025-08-29,Car Music System,Electronics,7505,1,7505,Hyderabad,Shopify,COD,Returned
10185,2025-09-17,Reverse Parking Camera,Electronics,1220,3,3660,Mumbai,Flipkart,Net Banking,Shipped
10186,2025-05-27,Car Seat Cover,Accessories,1232,3,3696,Mumbai,Shopify,UPI,Shipped
10187,2025-08-19,Car Air Freshener,Accessories,9808,1,9808,Jaipur,Flipkart,Net Banking,Cancelled
10188,2025-06-25,Car Seat Cover,Accessories,7681,1,7681,Mumbai,Shopify,Card,Delivered
10189,2025-08-13,Car Phone Holder,Accessories,11893,4,47572,Bangalore,Flipkart,COD,Returned
10190,2025-12-14,Car Floor Mat,Accessories,6997,3,20991,Delhi,Shopify,COD,Delivered
10191,2025-05-26,Car Vacuum Cleaner,Electronics,1848,4,7392,Udaipur,Shopify,Card,Returned
10192,2025-06-29,Car LED Light,Accessories,9847,2,19694,Udaipur,Shopify,Net Banking,Cancelled
10193,2025-06-08,Reverse Parking Camera,Electronics,11913,1,11913,Pune,Shopify,COD,Cancelled
10194,2025-09-18,Android Car Display,Electronics,1831,4,7324,Ahmedabad,Amazon,COD,Returned
10195,2025-09-06,Car Music System,Electronics,3809,3,11427,Jaipur,Amazon,Card,Cancelled
10196,2025-09-17,Car LED Light,Accessories,5146,1,5146,Delhi,Shopify,COD,Cancelled
10197,2025-03-25,Reverse Parking Camera,Electronics,6472,2,12944,Bangalore,Shopify,Card,Shipped
10198,2025-12-13,Car Seat Cover,Accessories,7031,3,21093,Jaipur,Flipkart,COD,Shipped
10199,2025-06-08,Car Phone Holder,Accessories,9049,2,18098,Hyderabad,Amazon,COD,Shipped
10200,2025-07-15,Car Air Freshener,Accessories,12906,3,38718,Pune,Amazon,Card,Cancelled
10201,2025-07-10,Car Dash Camera,Electronics,1154,4,4616,Mumbai,Shopify,UPI,Returned
10202,2025-05-20,Car LED Light,Accessories,12802,2,25604,Hyderabad,Shopify,Card,Shipped
10203,2025-06-28,Car LED Light,Accessories,3937,4,15748,Delhi,Flipkart,UPI,Shipped
10204,2025-07-17,Android Car Display,Electronics,6426,2,12852,Mumbai,Flipkart,Card,Delivered
10205,2025-03-16,Car Vacuum Cleaner,Electronics,1923,3,5769,Bangalore,Amazon,COD,Shipped
10206,2025-08-18,Car Music System,Electronics,12732,4,50928,Delhi,Amazon,UPI,Returned
10207,2025-10-08,Car Phone Holder,Accessories,13980,2,27960,Pune,Amazon,COD,Cancelled
10208,2025-05-03,Car Dash Camera,Electronics,2296,1,2296,Pune,Shopify,Net Banking,Delivered
10209,2025-11-02,Car LED Light,Accessories,14008,4,56032,Delhi,Shopify,Card,Cancelled
10210,2025-11-11,Car Dash Camera,Electronics,7332,1,7332,Ahmedabad,Amazon,Net Banking,Cancelled
10211,2025-02-04,Car LED Light,Accessories,8876,3,26628,Delhi,Flipkart,Net Banking,Delivered
10212,2025-01-09,Car Floor Mat,Accessories,6416,3,19248,Ahmedabad,Amazon,COD,Cancelled
10213,2025-03-10,Car LED Light,Accessories,12940,3,38820,Delhi,Flipkart,COD,Cancelled
10214,2025-11-20,Car Air Freshener,Accessories,11693,4,46772,Bangalore,Amazon,UPI,Shipped
10215,2025-01-23,Car Seat Cover,Accessories,5107,2,10214,Jaipur,Amazon,COD,Returned
10216,2025-05-10,Android Car Display,Electronics,6824,4,27296,Delhi,Shopify,Card,Returned
10217,2025-12-02,Car Vacuum Cleaner,Electronics,14425,1,14425,Ahmedabad,Flipkart,UPI,Returned
10218,2025-08-14,Car Floor Mat,Accessories,14873,4,59492,Pune,Flipkart,Card,Shipped
10219,2025-02-12,Car Air Freshener,Accessories,6318,3,18954,Pune,Amazon,Net Banking,Cancelled
10220,2025-02-22,Android Car Display,Electronics,5113,3,15339,Mumbai,Flipkart,COD,Returned
10221,2025-03-27,Car Air Freshener,Accessories,10173,4,40692,Hyderabad,Flipkart,Net Banking,Delivered
10222,2025-05-21,Car Vacuum Cleaner,Electronics,10373,4,41492,Delhi,Amazon,Net Banking,Returned
10223,2025-01-16,Android Car Display,Electronics,13425,2,26850,Bangalore,Shopify,Net Banking,Delivered
10224,2025-11-27,Car Music System,Electronics,1401,2,2802,Ahmedabad,Flipkart,Net Banking,Delivered
10225,2025-07-09,Reverse Parking Camera,Electronics,2813,4,11252,Ahmedabad,Flipkart,UPI,Cancelled
10226,2025-06-10,Android Car Display,Electronics,6312,4,25248,Udaipur,Amazon,UPI,Delivered
10227,2025-10-15,Car Music System,Electronics,8476,4,33904,Mumbai,Flipkart,COD,Shipped
10228,2025-12-22,Car Phone Holder,Accessories,10324,3,30972,Hyderabad,Amazon,UPI,Cancelled
10229,2026-01-01,Car LED Light,Accessories,7706,2,15412,Hyderabad,Amazon,COD,Returned
10230,2025-06-03,Car LED Light,Accessories,9311,3,27933,Bangalore,Shopify,Card,Returned
10231,2025-04-13,Android Car Display,Electronics,3973,1,3973,Bangalore,Amazon,Net Banking,Delivered
10232,2025-08-28,Car Vacuum Cleaner,Electronics,9377,3,28131,Bangalore,Shopify,UPI,Delivered
10233,2025-09-27,Car Dash Camera,Electronics,6823,4,27292,Pune,Flipkart,UPI,Cancelled
10234,2025-08-19,Car Vacuum Cleaner,Electronics,10824,1,10824,Hyderabad,Shopify,COD,Cancelled
10235,2025-03-08,Android Car Display,Electronics,10782,2,21564,Pune,Shopify,UPI,Delivered
10236,2025-03-26,Android Car Display,Electronics,2807,3,8421,Bangalore,Flipkart,Card,Returned
10237,2025-02-10,Android Car Display,Electronics,14962,3,44886,Udaipur,Amazon,COD,Cancelled
10238,2025-09-15,Car Dash Camera,Electronics,10366,1,10366,Bangalore,Shopify,Card,Cancelled
10239,2025-10-16,Reverse Parking Camera,Electronics,12106,3,36318,Delhi,Amazon,UPI,Delivered
10240,2025-10-20,Reverse Parking Camera,Electronics,4636,2,9272,Pune,Shopify,UPI,Shipped
10241,2025-09-05,Android Car Display,Electronics,5045,3,15135,Jaipur,Shopify,Net Banking,Returned
10242,2025-03-22,Car Air Freshener,Accessories,1495,1,1495,Hyderabad,Flipkart,Net Banking,Shipped
10243,2025-06-10,Car Phone Holder,Accessories,5873,2,11746,Ahmedabad,Shopify,COD,Shipped
10244,2025-09-21,Car Music System,Electronics,12762,3,38286,Mumbai,Flipkart,Card,Shipped
10245,2025-05-07,Car LED Light,Accessories,4682,4,18728,Bangalore,Amazon,UPI,Returned
10246,2025-05-08,Car Floor Mat,Accessories,14458,4,57832,Bangalore,Flipkart,COD,Cancelled
10247,2025-09-13,Car Music System,Electronics,8463,4,33852,Udaipur,Flipkart,UPI,Delivered
10248,2025-05-04,Car Floor Mat,Accessories,8581,4,34324,Jaipur,Shopify,COD,Delivered
10249,2025-11-02,Car Seat Cover,Accessories,4909,4,19636,Hyderabad,Flipkart,UPI,Delivered
10250,2025-07-07,Car Floor Mat,Accessories,2494,3,7482,Pune,Flipkart,UPI,Shipped
10251,2025-07-05,Car Seat Cover,Accessories,9643,2,19286,Udaipur,Amazon,Net Banking,Shipped
10252,2025-03-07,Android Car Display,Electronics,4882,1,4882,Mumbai,Flipkart,COD,Returned
10253,2025-04-12,Android Car Display,Electronics,6290,2,12580,Pune,Shopify,UPI,Delivered
10254,2025-08-31,Car Seat Cover,Accessories,2545,3,7635,Hyderabad,Amazon,Card,Returned
10255,2025-07-21,Reverse Parking Camera,Electronics,5518,2,11036,Udaipur,Shopify,COD,Shipped
10256,2025-01-09,Reverse Parking Camera,Electronics,5211,4,20844,Ahmedabad,Flipkart,UPI,Shipped
10257,2025-11-02,Reverse Parking Camera,Electronics,5340,1,5340,Hyderabad,Flipkart,Card,Delivered
10258,2025-09-26,Reverse Parking Camera,Electronics,8171,2,16342,Pune,Amazon,Card,Delivered
10259,2025-04-08,Reverse Parking Camera,Electronics,11777,1,11777,Delhi,Flipkart,COD,Shipped
10260,2025-07-30,Car Music System,Electronics,7065,2,14130,Hyderabad,Shopify,UPI,Cancelled
10261,2025-12-06,Android Car Display,Electronics,3697,3,11091,Hyderabad,Shopify,Net Banking,Returned
10262,2025-10-07,Car Music System,Electronics,7831,3,23493,Ahmedabad,Shopify,COD,Shipped
10263,2025-10-13,Car Phone Holder,Accessories,4338,3,13014,Udaipur,Amazon,COD,Returned
10264,2025-06-12,Car Phone Holder,Accessories,11608,4,46432,Hyderabad,Flipkart,COD,Returned
10265,2025-07-22,Car LED Light,Accessories,9695,4,38780,Ahmedabad,Amazon,COD,Delivered
10266,2025-06-27,Car Dash Camera,Electronics,12000,1,12000,Hyderabad,Shopify,COD,Shipped
10267,2025-10-15,Car Phone Holder,Accessories,3610,3,10830,Udaipur,Amazon,UPI,Cancelled
10268,2025-11-23,Car Phone Holder,Accessories,1131,2,2262,Jaipur,Amazon,UPI,Shipped
